start,end,_Get Coordinates of Feature_latitude,_Get Coordinates of Feature_longitude,_Get Coordinates of Feature_altitude,_Get Coordinates of Feature_precision,Feature to be mapped,Take a clear Photo of the Transformer,Take a clear Photo of the Transformer_URL,What telecommunication network owns it?,Provide a clear photo of the Illegal dumpsite,Provide a clear photo of the Illegal dumpsite_URL,What is the Environmental Hazard,Well_Water_Level___,Provide a clear photo of the mast showing the logo of the telecoms provider,Provide a clear photo of the mast showing the logo of the telecoms provider_URL,Provide a clear photo of the environmental hazard,Provide a clear photo of the environmental hazard_URL,_index
2024-02-01,2024-02-01,7.237143,5.205407,367.6829491,5,Well_Water_Level,,,,,,,2.94,,,,,19
2024-02-01,2024-02-01,7.236668,5.205773,368.2,3.799999952,Illegal Dumpsites,,,,1706792175478401721949307965709-13_56_22.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F86db3107-40a2-4ba1-8c10-744f30e73e5e%2F1706792175478401721949307965709-13_56_22.jpg,,,,,,,20
2024-02-01,2024-02-01,7.236668,5.205773,368.2,3.900000095,Well_Water_Level,,,,,,,2.97,,,,,21
2024-02-01,2024-02-01,7.235085,5.205793,372.3,2.200000048,Transformer,17067925458006646093795532544525-14_2_31.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F1c2f68f5-b95b-47ee-a5a9-f240a1c1b2cf%2F17067925458006646093795532544525-14_2_31.jpg,,,,,,,,,,22
2024-02-01,2024-02-01,7.23475,5.20616,360.4,4.699999809,Illegal Dumpsites,,,,17067927386022117305400401763976-14_5_49.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F1676fdf0-58d7-4b25-a8da-015fef2cdbf9%2F17067927386022117305400401763976-14_5_49.jpg,,,,,,,23
2024-02-01,2024-02-01,7.234762,5.206253,365.2,3.15199995,Well_Water_Level,,,,,,,2.73,,,,,24
2024-02-01,2024-02-01,7.235222,5.206452,365,2,Illegal Dumpsites,,,,17067929637218117847888787699049-14_9_36.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fb177855a-f321-4e81-a65c-0e7c2469e509%2F17067929637218117847888787699049-14_9_36.jpg,,,,,,,25
2024-02-01,2024-02-01,7.23507,5.207336,353.4184837,5,Well_Water_Level,,,,,,,3.39,,,,,26
2024-02-01,2024-02-01,7.235426,5.207568,368.1090965,5,Illegal Dumpsites,,,,image-8_18_13.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F14087d80-2a3d-45f3-9e2d-431bb9900170%2Fimage-8_18_13.jpg,,,,,,,27
2024-02-01,2024-02-01,7.235927,5.207944,369.3,2.400000095,Well_Water_Level,,,,,,,6.11,,,,,28
2024-02-01,2024-02-01,7.236956,5.207147,355.9715843,5,Environmental Hazards,,,,,,Erosion ,,,,image-8_40_15.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F1129cdf6-acc7-48ac-a824-d722c3681488%2Fimage-8_40_15.jpg,29
2024-02-01,2024-02-01,7.236952,5.20783,371.7,2.099999905,Well_Water_Level,,,,,,,5.28,,,,,30
2024-02-01,2024-02-01,7.23734,5.208055,372.6,1.899999976,Well_Water_Level,,,,,,,5.58,,,,,31
2024-02-01,2024-02-01,7.236623,5.208965,377.1,2,Transformer,17067956257253177378242174937757-14_53_53.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F4d52603d-dbec-4235-bc09-c748533ddda2%2F17067956257253177378242174937757-14_53_53.jpg,,,,,,,,,,32
2024-02-01,2024-02-01,7.235503,5.209468,373.1,1.899999976,Well_Water_Level,,,,,,,6.84,,,,,33
2024-02-01,2024-02-01,7.235362,5.208993,371.3,2,Well_Water_Level,,,,,,,5.08,,,,,34
2024-02-01,2024-02-01,7.236539,5.20976,373.4,2.099999905,Well_Water_Level,,,,,,,7.34,,,,,35
2024-02-01,2024-02-01,7.236783,5.210578,368.9,2.099999905,Well_Water_Level,,,,,,,3.08,,,,,36
2024-02-01,2024-02-01,7.236055,5.210499,356.0589256,5,Environmental Hazards,,,,,,Erosion ,,,,image-9_21_20.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F9fe4cdb7-bf4d-4812-b4fc-91e9d2288e64%2Fimage-9_21_20.jpg,37
2024-02-01,2024-02-01,7.236027,5.210496,369.4,4.449999809,Well_Water_Level,,,,,,,2.7,,,,,38
2024-02-01,2024-02-01,7.23851,5.207758,364.6,2.099999905,Well_Water_Level,,,,,,,2.18,,,,,39
2024-02-01,2024-02-01,7.239979,5.20876,374.9,2,Telephone Masts,,,Unknown,,,,,17067985196173239947561500113141-15_42_10.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fdeb83ec8-f6ea-4b45-9799-b6024589faa4%2F17067985196173239947561500113141-15_42_10.jpg,,,40
2024-02-01,2024-02-01,7.239782,5.209339,378,4.849999905,Well_Water_Level,,,,,,,7.62,,,,,41
2024-02-01,2024-02-01,7.238359,5.210103,371.6,1.549999952,Transformer,17067994913134819958226380784307-15_58_18.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F6b8f6f56-8557-4fc4-b923-387c79336cbd%2F17067994913134819958226380784307-15_58_18.jpg,,,,,,,,,,42
2024-02-01,2024-02-01,7.237283,5.212058,371,4.449999809,Telephone Masts,,,Unknown,,,,,1706799951514701368589393137723-16_6_15.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F864fca5c-bc2e-4ccc-9d08-45e06eb9c03e%2F1706799951514701368589393137723-16_6_15.jpg,,,43
2024-02-01,2024-02-01,7.236865,5.212247,370.6,1.899999976,Illegal Dumpsites,,,,17068000943882259085114952439059-16_8_34.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F67cdac58-a378-4f9b-a413-786173596d70%2F17068000943882259085114952439059-16_8_34.jpg,,,,,,,44
2024-02-01,2024-02-01,7.235135,5.211755,362,2,Well_Water_Level,,,,,,,4.19,,,,,45
2024-02-01,2024-02-01,7.234584,5.208793,366,2,Well_Water_Level,,,,,,,2.91,,,,,46
2024-02-01,2024-02-01,7.233606,5.207948,365.3,3.400000095,Telephone Masts,,,Unknown,,,,,1706802569305602917620052608268-16_49_41.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Ff5ed01ac-f9f0-4e8d-8062-cfcbb6d3bc86%2F1706802569305602917620052608268-16_49_41.jpg,,,47
2024-02-01,2024-02-01,7.233535,5.207195,360.4,2,Well_Water_Level,,,,,,,3.48,,,,,48
2024-02-01,2024-02-01,7.232135,5.207655,359.4,2.099999905,Well_Water_Level,,,,,,,2.62,,,,,49
2024-02-01,2024-02-01,7.232212,5.208297,350.6083641,5,Illegal Dumpsites,,,,image-11_6_8.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F7dd41023-059c-49ac-8d0e-f20a1fbecba3%2Fimage-11_6_8.jpg,,,,,,,50
2024-02-01,2024-02-01,7.232251,5.208467,365.3,2,Well_Water_Level,,,,,,,3.36,,,,,51
2024-02-01,2024-02-01,7.232883,5.205722,374.7,2.299999952,Transformer,17068042140308843945336827225587-17_17_1.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fff2b1152-825a-4aee-ada1-427b425ae174%2F17068042140308843945336827225587-17_17_1.jpg,,,,,,,,,,52
2024-02-01,2024-02-01,7.233517,5.205103,369.7,1.899999976,Well_Water_Level,,,,,,,6.34,,,,,53
2024-02-01,2024-02-01,7.23224,5.208295,351.3984032,5,Transformer,image-11_24_38.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F996d800d-4c9b-465b-b3b3-ad4b00c91e57%2Fimage-11_24_38.jpg,,,,,,,,,,54
2024-02-02,2024-02-02,7.235895,5.202401,390.2999878,2.299999952,Well_Water_Level,,,,,,,7.99,,,,,55
2024-02-02,2024-02-02,7.2354,5.202242,390.2999878,2.200000048,Well_Water_Level,,,,,,,7.27,,,,,56
2024-02-02,2024-02-02,7.234292,5.201798,369.1,2,Well_Water_Level,,,,,,,4.53,,,,,57
2024-02-02,2024-02-02,7.233478,5.201267,371.6,2.948999882,Well_Water_Level,,,,,,,2.07,,,,,58
2024-02-02,2024-02-02,7.232495,5.200648,362.9,2,Well_Water_Level,,,,,,,1.79,,,,,59
2024-02-02,2024-02-02,7.231808,5.199939,365.7,2.099999905,Well_Water_Level,,,,,,,1.81,,,,,60
2024-02-02,2024-02-02,7.231147,5.199643,363.4,2.099999905,Well_Water_Level,,,,,,,4.42,,,,,61
2024-02-02,2024-02-02,7.23026,5.199743,367.5,3.900000095,Well_Water_Level,,,,,,,5.24,,,,,62
2024-02-02,2024-02-02,7.229379,5.199783,372,1.600000024,Well_Water_Level,,,,,,,5.76,,,,,63
2024-02-02,2024-02-02,7.228573,5.200503,366.6,2.099999905,Well_Water_Level,,,,,,,2.86,,,,,64
2024-02-02,2024-02-02,7.228547,5.201535,364.5,2.871999979,Illegal Dumpsites,,,,17068690233276077953630081646984-11_17_9.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fc7500e3e-a918-406d-afa5-1bcca7d970a4%2F17068690233276077953630081646984-11_17_9.jpg,,,,,,,65
2024-02-02,2024-02-02,7.228918,5.2015,363.7,2.200000048,Well_Water_Level,,,,,,,0.43,,,,,66
2024-02-02,2024-02-02,7.22833,5.202233,369,3.535000086,Well_Water_Level,,,,,,,3.65,,,,,67
2024-02-01,2024-02-02,7.234325,5.201805,362.7725487,5,Environmental Hazards,,,,,,Erosion ,,,,image-4_34_10.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F611829ab-569f-4acf-bf1e-639a78f77283%2Fimage-4_34_10.jpg,68
2024-02-01,2024-02-02,7.234325,5.201805,362.7725487,5,Environmental Hazards,,,,,,Erosion ,,,,image-4_34_10.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F611829ab-569f-4acf-bf1e-639a78f77283%2Fimage-4_34_10.jpg,69
2024-02-02,2024-02-02,7.228948,5.199808,363.6347313,5,Environmental Hazards,,,,,,Erosion ,,,,image-5_9_3.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F4164c62f-992b-4003-8fe4-c71a92d8ceb0%2Fimage-5_9_3.jpg,70
2024-02-02,2024-02-02,7.228414,5.202816,368.4,3.076999903,Transformer,17068695944378342630162168991133-11_26_40.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fe8a85cd5-0c6c-4977-a0c4-ed6dd374f233%2F17068695944378342630162168991133-11_26_40.jpg,,,,,,,,,,71
2024-02-02,2024-02-02,7.229597,5.202993,360.1,2.099999905,Well_Water_Level,,,,,,,3.3,,,,,72
2024-02-02,2024-02-02,7.23001,5.202981,360.5,2,Well_Water_Level,,,,,,,3.71,,,,,73
2024-02-02,2024-02-02,7.23075,5.203698,360.8,2.200000048,Well_Water_Level,,,,,,,3.41,,,,,74
2024-02-02,2024-02-02,7.230835,5.202244,361.9,2,Well_Water_Level,,,,,,,2.11,,,,,75
2024-02-02,2024-02-02,7.231578,5.20281,358.1,2,Illegal Dumpsites,,,,17068716158412129751560871741226-12_0_33.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fc66c99e4-d1dc-4db4-a821-23540e9a9ba9%2F17068716158412129751560871741226-12_0_33.jpg,,,,,,,76
2024-02-02,2024-02-02,7.231578,5.20281,358.1,2.200000048,Environmental Hazards,,,,,,Erosion ,,,,17068716683998861325886349282072-12_1_15.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F1d69f3d7-6567-4701-9b9d-341e0ed0bea7%2F17068716683998861325886349282072-12_1_15.jpg,77
2024-02-02,2024-02-02,7.232102,5.202857,359.4,3.900000095,Well_Water_Level,,,,,,,1.02,,,,,78
2024-02-02,2024-02-02,7.230636,5.204083,363,3.599999905,Transformer,17068721695768419706289682613486-12_9_37.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F65444ef2-4ad8-4c96-849c-361f3fb54f6f%2F17068721695768419706289682613486-12_9_37.jpg,,,,,,,,,,79
2024-02-02,2024-02-02,7.22998,5.205392,361.5,3.130000114,Well_Water_Level,,,,,,,4.34,,,,,80
2024-02-02,2024-02-02,7.22931,5.206387,358.4,2,Well_Water_Level,,,,,,,0.16,,,,,81
2024-02-02,2024-02-02,7.228248,5.206205,367.3,2,Well_Water_Level,,,,,,,2.47,,,,,82
2024-02-02,2024-02-02,7.227647,5.206108,366.1,3.872999907,Well_Water_Level,,,,,,,2.85,,,,,83
2024-02-02,2024-02-02,7.227773,5.205207,361.1,2,Illegal Dumpsites,,,,17068734614167795819024066361855-12_31_27.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fe81062ea-10ba-4bef-bd01-84048e5823ea%2F17068734614167795819024066361855-12_31_27.jpg,,,,,,,84
2024-02-02,2024-02-02,7.227705,5.205188,361.1,2.200000048,Well_Water_Level,,,,,,,3.19,,,,,85
2024-02-02,2024-02-02,7.22829,5.204222,368.5,2.200000048,Well_Water_Level,,,,,,,3.99,,,,,86
2024-02-02,2024-02-02,7.227657,5.204076,368.8,2,Well_Water_Level,,,,,,,3.72,,,,,87
2024-02-02,2024-02-02,7.227193,5.20456,370.3,2.099999905,Telephone Masts,,,Unknown,,,,,17068745312314345540665146791371-12_48_59.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fa744eb14-6616-40de-80bf-51a7c41302bd%2F17068745312314345540665146791371-12_48_59.jpg,,,88
2024-02-02,2024-02-02,7.227153,5.204787,369.7,2.849999905,Illegal Dumpsites,,,,17068746243624824308824958491121-12_50_34.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fb0de8ede-30a3-436d-a6dd-548be426de8b%2F17068746243624824308824958491121-12_50_34.jpg,,,,,,,89
2024-02-02,2024-02-02,7.226712,5.206357,368.6,2.276000023,Well_Water_Level,,,,,,,4.96,,,,,90
2024-02-02,2024-02-02,7.229013,5.209066,368,2.200000048,Well_Water_Level,,,,,,,8.48,,,,,91
2024-02-02,2024-02-02,7.23136,5.208928,354.9,2.099999905,Well_Water_Level,,,,,,,2.42,,,,,92
2024-02-02,2024-02-02,7.231352,5.210505,356.8,2.299999952,Illegal Dumpsites,,,,17068768493134163921076576167525-13_27_36.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Ff56e9319-3b52-48c8-960b-af2a14c189e9%2F17068768493134163921076576167525-13_27_36.jpg,,,,,,,93
2024-02-02,2024-02-02,7.230012,5.21185,359,2.099999905,Well_Water_Level,,,,,,,2.34,,,,,94
2024-02-02,2024-02-02,7.230648,5.211727,357.2,2.200000048,Well_Water_Level,,,,,,,1.97,,,,,95
2024-02-02,2024-02-02,7.231702,5.211652,352.9,2.200000048,Well_Water_Level,,,,,,,1.31,,,,,96
2024-02-02,2024-02-02,7.227311,5.199288,377.1,2.099999905,Well_Water_Level,,,,,,,5,,,,,97
2024-02-02,2024-02-02,7.226666,5.199077,376.3,2,Transformer,17068817515835568861858332106994-14_49_20.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Faa049308-a31a-49b2-bb9f-05cdd2b0eb8f%2F17068817515835568861858332106994-14_49_20.jpg,,,,,,,,,,98
2024-02-02,2024-02-02,7.226541,5.181426,347.3594627,5,Well_Water_Level,,,,,,,5.15,,,,,99
2024-02-02,2024-02-02,7.226665,5.199075,393,2.200000048,Well_Water_Level,,,,,,,3.91,,,,,100
2024-02-02,2024-02-02,7.22659,5.197762,384.9,2,Well_Water_Level,,,,,,,7.32,,,,,101
2024-02-02,2024-02-02,7.22695,5.184089,348.3984642,5,Well_Water_Level,,,,,,,2.47,,,,,102
2024-02-02,2024-02-02,7.226942,5.196777,388.1,2,Well_Water_Level,,,,,,,11.83,,,,,103
2024-02-02,2024-02-02,7.226841,5.185281,350.4471092,5,Well_Water_Level,,,,,,,4.21,,,,,104
2024-02-02,2024-02-02,7.227272,5.197768,386.5,4.849999905,Transformer,17068827740765082203590251010092-15_6_21.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F9e4f05c3-3cf9-4b27-aa27-d587b1c545c8%2F17068827740765082203590251010092-15_6_21.jpg,,,,,,,,,,105
2024-02-02,2024-02-02,7.228109,5.197701,383.5,2,Telephone Masts,,,Unknown,,,,,17068829590121476182420328831247-15_9_30.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fb6fa37d0-d603-4e6a-a38b-62bba0a96a1e%2F17068829590121476182420328831247-15_9_30.jpg,,,106
2024-02-02,2024-02-02,7.227658,5.18619,383.0783348,5,Illegal Dumpsites,,,,image-9_11_40.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F6b427e93-f031-45f9-9717-f2ee1a146551%2Fimage-9_11_40.jpg,,,,,,,107
2024-02-02,2024-02-02,7.228332,5.186784,367.4757347,5,Telephone Masts,,,Unknown,,,,,image-9_15_18.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F969d46dd-af6b-4559-b6b4-10a4fb5f61ae%2Fimage-9_15_18.jpg,,,108
2024-02-02,2024-02-02,7.22823,5.18668,368.4735985,5,Well_Water_Level,,,,,,,7.35,,,,,109
2024-02-02,2024-02-02,7.230333,5.196313,380.3,2.099999905,Transformer,17068836365743507222754354434594-15_20_45.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fcff73cba-2b77-4769-85d7-0e7cb6a812be%2F17068836365743507222754354434594-15_20_45.jpg,,,,,,,,,,110
2024-02-02,2024-02-02,7.230583,5.196316,374.9,5,Well_Water_Level,,,,,,,4.36,,,,,111
2024-02-02,2024-02-02,7.228854,5.187786,367.2081409,5,Well_Water_Level,,,,,,,7.56,,,,,112
2024-02-02,2024-02-02,7.229858,5.197692,380.6,1.899999976,Well_Water_Level,,,,,,,6.28,,,,,113
2024-02-02,2024-02-02,7.228904,5.187957,371.6927757,5,Well_Water_Level,,,,,,,7.82,,,,,114
2024-02-02,2024-02-02,7.229838,5.198805,377.2,3.900000095,Transformer,1706884620634544603071564455770-15_37_12.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Ffbcb06a5-c26b-4fd6-beed-621a4bd301d2%2F1706884620634544603071564455770-15_37_12.jpg,,,,,,,,,,115
2024-02-02,2024-02-02,7.228025,5.18968,368.6665916,5,Environmental Hazards,,,,,,Erosion ,,,,image-9_38_41.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F92b22bc7-50d1-41c0-9892-caaab4b5bec3%2Fimage-9_38_41.jpg,116
2024-02-02,2024-02-02,7.228172,5.189737,378.0245018,5,Well_Water_Level,,,,,,,7.65,,,,,117
2024-02-02,2024-02-02,7.228172,5.189737,376.3409081,5,Telephone Masts,,,Unknown,,,,,image-9_42_2.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F6f8553d1-c0ee-432e-8a13-2e0bdce82f04%2Fimage-9_42_2.jpg,,,118
2024-02-02,2024-02-02,7.230625,5.198413,377.7,2.365999937,Telephone Masts,,,Unknown,,,,,17068849298094279275020440990855-15_42_18.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F75cdfe2c-bfab-4cfa-bf2d-690d880e5bf1%2F17068849298094279275020440990855-15_42_18.jpg,,,119
2024-02-02,2024-02-02,7.227244,5.189536,370.6089745,5,Illegal Dumpsites,,,,image-9_43_10.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fa2730a2b-92bd-456f-8bcd-73c1bbbd319e%2Fimage-9_43_10.jpg,,,,,,,120
2024-02-02,2024-02-02,7.232226,5.198145,377.8,2.099999905,Well_Water_Level,,,,,,,2.96,,,,,121
2024-02-02,2024-02-02,7.227214,5.189028,376.8934802,5,Well_Water_Level,,,,,,,5.78,,,,,122
2024-02-02,2024-02-02,7.232965,5.197495,373.1,2,Transformer,1706885497122598504789833971889-15_51_44.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F66ef82c0-b1b5-4249-ae9a-7a785df382e7%2F1706885497122598504789833971889-15_51_44.jpg,,,,,,,,,,123
2024-02-02,2024-02-02,7.226425,5.188022,356.8532372,5,Well_Water_Level,,,,,,,6.25,,,,,124
2024-02-02,2024-02-02,7.233497,5.197575,371.5,3.186000109,Well_Water_Level,,,,,,,5.51,,,,,125
2024-02-02,2024-02-02,7.234038,5.19739,362.9,4,Illegal Dumpsites,,,,17068859583537877711101137335174-15_59_25.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F128098a0-48a3-4853-a38f-23ed5bacca6a%2F17068859583537877711101137335174-15_59_25.jpg,,,,,,,126
2024-02-02,2024-02-02,7.227224,5.188536,370.7327538,5,Illegal Dumpsites,,,,image-10_3_33.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Fd8f5152e-8e7a-4f31-a27f-08a983316bc5%2Fimage-10_3_33.jpg,,,,,,,127
2024-02-02,2024-02-02,7.227175,5.190425,371.4890404,5,Well_Water_Level,,,,,,,8.94,,,,,128
