start,end,latitude,longitude,altitude,precision,Feature to be mapped,What is the Environmental Hazard,Well_Water_Level
2/2/2024,2/2/2024,7.231808,5.199939,365.7,2.099999905,Well_Water_Level,,1.81
2/2/2024,2/2/2024,7.231147,5.199643,363.4,2.099999905,Well_Water_Level,,4.42
2/2/2024,2/2/2024,7.23026,5.199743,367.5,3.900000095,Well_Water_Level,,5.24
2/2/2024,2/2/2024,7.229379,5.199783,372,1.600000024,Well_Water_Level,,5.76
2/2/2024,2/2/2024,7.228573,5.200503,366.6,2.099999905,Well_Water_Level,,2.86
2/2/2024,2/2/2024,7.228918,5.2015,363.7,2.200000048,Well_Water_Level,,0.43
2/2/2024,2/2/2024,7.22833,5.202233,369,3.535000086,Well_Water_Level,,3.65
2/2/2024,2/2/2024,7.229597,5.202993,360.1,2.099999905,Well_Water_Level,,3.3
2/2/2024,2/2/2024,7.23001,5.202981,360.5,2,Well_Water_Level,,3.71
2/2/2024,2/2/2024,7.23075,5.203698,360.8,2.200000048,Well_Water_Level,,3.41
2/2/2024,2/2/2024,7.230835,5.202244,361.9,2,Well_Water_Level,,2.11
2/2/2024,2/2/2024,7.232102,5.202857,359.4,3.900000095,Well_Water_Level,,1.02
2/2/2024,2/2/2024,7.22998,5.205392,361.5,3.130000114,Well_Water_Level,,4.34
2/2/2024,2/2/2024,7.22931,5.206387,358.4,2,Well_Water_Level,,0.16
2/2/2024,2/2/2024,7.228248,5.206205,367.3,2,Well_Water_Level,,2.47
2/2/2024,2/2/2024,7.227647,5.206108,366.1,3.872999907,Well_Water_Level,,2.85
2/2/2024,2/2/2024,7.227705,5.205188,361.1,2.200000048,Well_Water_Level,,3.19
2/2/2024,2/2/2024,7.22829,5.204222,368.5,2.200000048,Well_Water_Level,,3.99
2/2/2024,2/2/2024,7.227657,5.204076,368.8,2,Well_Water_Level,,3.72
2/2/2024,2/2/2024,7.226712,5.206357,368.6,2.276000023,Well_Water_Level,,4.96
2/2/2024,2/2/2024,7.229013,5.209066,368,2.200000048,Well_Water_Level,,8.48
2/2/2024,2/2/2024,7.23136,5.208928,354.9,2.099999905,Well_Water_Level,,2.42
2/2/2024,2/2/2024,7.230012,5.21185,359,2.099999905,Well_Water_Level,,2.34
2/2/2024,2/2/2024,7.230648,5.211727,357.2,2.200000048,Well_Water_Level,,1.97
2/2/2024,2/2/2024,7.231702,5.211652,352.9,2.200000048,Well_Water_Level,,1.31
2/2/2024,2/2/2024,7.227311,5.199288,377.1,2.099999905,Well_Water_Level,,5
2/2/2024,2/2/2024,7.226541,5.181426,347.3594627,5,Well_Water_Level,,5.15
2/2/2024,2/2/2024,7.226665,5.199075,393,2.200000048,Well_Water_Level,,3.91
2/2/2024,2/2/2024,7.22659,5.197762,384.9,2,Well_Water_Level,,7.32
2/2/2024,2/2/2024,7.22695,5.184089,348.3984642,5,Well_Water_Level,,2.47
2/2/2024,2/2/2024,7.226942,5.196777,388.1,2,Well_Water_Level,,11.83
2/2/2024,2/2/2024,7.226841,5.185281,350.4471092,5,Well_Water_Level,,4.21
2/2/2024,2/2/2024,7.22823,5.18668,368.4735985,5,Well_Water_Level,,7.35
2/2/2024,2/2/2024,7.230583,5.196316,374.9,5,Well_Water_Level,,4.36
2/2/2024,2/2/2024,7.228854,5.187786,367.2081409,5,Well_Water_Level,,7.56
2/2/2024,2/2/2024,7.229858,5.197692,380.6,1.899999976,Well_Water_Level,,6.28
2/2/2024,2/2/2024,7.228904,5.187957,371.6927757,5,Well_Water_Level,,7.82
2/2/2024,2/2/2024,7.228172,5.189737,378.0245018,5,Well_Water_Level,,7.65
2/2/2024,2/2/2024,7.232226,5.198145,377.8,2.099999905,Well_Water_Level,,2.96
2/2/2024,2/2/2024,7.227214,5.189028,376.8934802,5,Well_Water_Level,,5.78
2/2/2024,2/2/2024,7.226425,5.188022,356.8532372,5,Well_Water_Level,,6.25
2/2/2024,2/2/2024,7.233497,5.197575,371.5,3.186000109,Well_Water_Level,,5.51
2/2/2024,2/2/2024,7.227175,5.190425,371.4890404,5,Well_Water_Level,,8.94
2/2/2024,2/2/2024,7.235153,5.196728,355.8,2.099999905,Well_Water_Level,,3.17
2/2/2024,2/2/2024,7.226759,5.19105,371.868618,5,Well_Water_Level,,6.15
2/2/2024,2/2/2024,7.23599,5.19781,368.1,2.099999905,Well_Water_Level,,4.64
2/2/2024,2/2/2024,7.235642,5.198033,366.8,1.799999952,Well_Water_Level,,4.19
2/2/2024,2/2/2024,7.226528,5.191198,380.5181541,5,Well_Water_Level,,3.63
2/2/2024,2/2/2024,7.236598,5.197077,365.9,2,Well_Water_Level,,4.5
2/2/2024,2/2/2024,7.228992,5.193383,364.538546,5,Well_Water_Level,,2.9
2/2/2024,2/2/2024,7.229703,5.192258,363.0794334,5,Well_Water_Level,,1.76
2/2/2024,2/2/2024,7.236765,5.196058,362.5,2.099999905,Well_Water_Level,,1.07
2/2/2024,2/2/2024,7.230158,5.191028,361.3140526,5,Well_Water_Level,,1.94
2/2/2024,2/2/2024,7.237245,5.19669,362.6,3.799999952,Well_Water_Level,,3.1
2/2/2024,2/2/2024,7.228783,5.190066,368.7983055,5,Well_Water_Level,,8.02
2/2/2024,2/2/2024,7.230908,5.188621,366.8139915,5,Well_Water_Level,,4.52
2/2/2024,2/2/2024,7.235807,5.194995,367.4,2,Well_Water_Level,,4.7
2/2/2024,2/2/2024,7.230223,5.187274,407.8666039,5,Well_Water_Level,,6.07
2/2/2024,2/2/2024,7.234283,5.194872,368.5,2.099999905,Well_Water_Level,,5.33
2/2/2024,2/2/2024,7.231921,5.186248,369.6683006,5,Well_Water_Level,,6.99
2/2/2024,2/2/2024,7.232845,5.195195,367.8,2.71239996,Well_Water_Level,,3.34
2/2/2024,2/2/2024,7.231705,5.194725,367.2,2.099999905,Well_Water_Level,,5.29
2/2/2024,2/2/2024,7.231621,5.184736,356.4459496,5,Well_Water_Level,,2.07
2/2/2024,2/2/2024,7.231,5.193827,370.8,2.200000048,Well_Water_Level,,5.22
2/2/2024,2/2/2024,7.232998,5.184818,363.0599632,5,Well_Water_Level,,4.74
2/2/2024,2/2/2024,7.230028,5.194857,372,2,Well_Water_Level,,1.14
2/2/2024,2/2/2024,7.229944,5.183543,350.9003563,5,Well_Water_Level,,3.5
2/2/2024,2/2/2024,7.228594,5.184589,359.0879173,5,Well_Water_Level,,3.99
2/3/2024,2/3/2024,7.236738,5.200914,364.2,2.200000048,Well_Water_Level,,5.3
2/3/2024,2/3/2024,7.237158,5.199622,363.7,2,Well_Water_Level,,4.9
2/3/2024,2/3/2024,7.231777,5.193239,368.7615623,5,Well_Water_Level,,12.85
2/3/2024,2/3/2024,7.236402,5.199597,364.3,2.200000048,Well_Water_Level,,4.81
2/3/2024,2/3/2024,7.231777,5.193239,369.8455519,5,Well_Water_Level,,12.46
2/3/2024,2/3/2024,7.23281,5.192896,368.1243553,5,Well_Water_Level,,11.25
2/3/2024,2/3/2024,7.238712,5.198482,356.8,1.899999976,Well_Water_Level,,3.17
2/3/2024,2/3/2024,7.23179,5.190835,356.1298485,5,Well_Water_Level,,3.54
2/3/2024,2/3/2024,7.239352,5.20026,356.4,2,Well_Water_Level,,0.73
2/3/2024,2/3/2024,7.231212,5.190017,353.0763817,5,Well_Water_Level,,0.82
2/3/2024,2/3/2024,7.232725,5.190511,361.0603294,5,Well_Water_Level,,5.23
2/3/2024,2/3/2024,7.23942,5.19911,350.6,3.059000015,Well_Water_Level,,1.24
2/3/2024,2/3/2024,7.232771,5.186912,361.0447655,5,Well_Water_Level,,5.39
2/3/2024,2/3/2024,7.233658,5.186358,360.8845482,5,Well_Water_Level,,7.01
2/3/2024,2/3/2024,7.23426,5.187397,356.387722,5,Well_Water_Level,,5.03
2/3/2024,2/3/2024,7.241512,5.199532,364.7,2.200000048,Well_Water_Level,,3.54
2/3/2024,2/3/2024,7.235017,5.188021,351.7441063,5,Well_Water_Level,,1.14
2/3/2024,2/3/2024,7.241318,5.200512,365.2,2.200000048,Well_Water_Level,,3.77
2/3/2024,2/3/2024,7.24029,5.201131,363.5,2.200000048,Well_Water_Level,,3.64
2/3/2024,2/3/2024,7.237986,5.188109,347.2508202,5,Well_Water_Level,,0.83
2/3/2024,2/3/2024,7.239919,5.202682,362.5,1.649999976,Well_Water_Level,,1.55
2/3/2024,2/3/2024,7.239536,5.203115,364.4,2,Well_Water_Level,,2.52
2/3/2024,2/3/2024,7.237015,5.188207,343.0851707,5,Well_Water_Level,,0.6
2/3/2024,2/3/2024,7.241417,5.203973,369.2,2.400000095,Well_Water_Level,,4.29
2/3/2024,2/3/2024,7.236677,5.190004,356.5948143,5,Well_Water_Level,,5.04
2/3/2024,2/3/2024,7.241305,5.204462,369.6,4.372000217,Well_Water_Level,,5.7
2/3/2024,2/3/2024,7.240663,5.2048,364.5,1.899999976,Well_Water_Level,,4.75
2/3/2024,2/3/2024,7.235771,5.190708,365.6739159,5,Well_Water_Level,,5.96
2/3/2024,2/3/2024,7.235026,5.19011,355.962368,5,Well_Water_Level,,5.37
2/3/2024,2/3/2024,7.235073,5.190012,357.2593651,5,Well_Water_Level,,4.86
2/3/2024,2/3/2024,7.234125,5.192887,365.4795799,5,Well_Water_Level,,3.89
2/3/2024,2/3/2024,7.234827,5.193548,366.8927879,5,Well_Water_Level,,9.56
2/3/2024,2/3/2024,7.243093,5.203916,374.5,2,Well_Water_Level,,5.11
2/3/2024,2/3/2024,7.234871,5.193564,367.2233857,5,Well_Water_Level,,3.19
2/3/2024,2/3/2024,7.242048,5.202668,375.7,2.935799837,Well_Water_Level,,5.14
2/3/2024,2/3/2024,7.241202,5.202475,376.1,2.5,Well_Water_Level,,2.69
2/3/2024,2/3/2024,7.236875,5.193527,355.1650658,5,Well_Water_Level,,6.45
2/3/2024,2/3/2024,7.242493,5.200538,386.5,2.099999905,Well_Water_Level,,6.61
2/3/2024,2/3/2024,7.238628,5.192181,340.8844872,5,Well_Water_Level,,1.34
2/3/2024,2/3/2024,7.238614,5.192197,347.7707176,5,Well_Water_Level,,5.37
2/3/2024,2/3/2024,7.24126,5.198827,370.7,2.099999905,Well_Water_Level,,1.74
2/3/2024,2/3/2024,7.241287,5.198383,368.6,3.700000048,Well_Water_Level,,3.76
2/3/2024,2/3/2024,7.238611,5.187229,353.0660667,5,Well_Water_Level,,4.19
2/3/2024,2/3/2024,7.24083333,5.19666667,373,0,Well_Water_Level,,3.51
2/3/2024,2/3/2024,7.239866,5.187919,348.5909691,5,Well_Water_Level,,3.6
2/3/2024,2/3/2024,7.240472,5.194892,361.5,3.900000095,Well_Water_Level,,1.08
2/3/2024,2/3/2024,7.239902,5.190754,342.0788231,5,Well_Water_Level,,0.48
2/3/2024,2/3/2024,7.23991,5.19071,342.1009178,5,Well_Water_Level,,4.45
2/3/2024,2/3/2024,7.242091,5.191231,342.186367,5,Well_Water_Level,,2.89
2/3/2024,2/3/2024,7.242884,5.19465,378.6,2.099999905,Well_Water_Level,,4.68
2/3/2024,2/3/2024,7.244142,5.19519,371.7,2,Well_Water_Level,,7.43
2/3/2024,2/3/2024,7.243007,5.191666,353.0083885,5,Well_Water_Level,,3.59
2/3/2024,2/3/2024,7.24501,5.19481,362.2,2.099999905,Well_Water_Level,,4.58
2/3/2024,2/3/2024,7.242084,5.190322,344.0777855,5,Well_Water_Level,,2.76
2/3/2024,2/3/2024,7.2462,5.196553,373.8,2.099999905,Well_Water_Level,,6.37
2/3/2024,2/3/2024,7.243757,5.190749,347.1615868,5,Well_Water_Level,,4.14
2/3/2024,2/3/2024,7.2447,5.197855,371.4,2.200000048,Well_Water_Level,,3.05
2/3/2024,2/3/2024,7.242322,5.192032,352.7384911,5,Well_Water_Level,,3.3
2/3/2024,2/3/2024,7.240161,5.192684,351.7865868,5,Well_Water_Level,,2.84
2/3/2024,2/3/2024,7.243013,5.200693,375.7,2.599999905,Well_Water_Level,,7.43
2/3/2024,2/3/2024,7.242583,5.19422,351.4355125,5,Well_Water_Level,,5.56
2/3/2024,2/3/2024,7.246356,5.201259,374.7999878,2,Well_Water_Level,,3.26
2/3/2024,2/3/2024,7.244681,5.19386,354.3672142,5,Well_Water_Level,,4.09
2/3/2024,2/3/2024,7.245228,5.191958,348.6423607,5,Well_Water_Level,,2.83
2/3/2024,2/3/2024,7.246071,5.191329,352.9886131,5,Well_Water_Level,,2.92
2/3/2024,2/3/2024,7.245936,5.190745,351.0181541,5,Well_Water_Level,,4.43
2/3/2024,2/3/2024,7.247362,5.191104,344.8047142,5,Well_Water_Level,,4.06
2/3/2024,2/3/2024,7.246998,5.192853,345.0525169,5,Well_Water_Level,,1.26
2/3/2024,2/3/2024,7.246888,5.193499,351.1438866,5,Well_Water_Level,,2.05
2/3/2024,2/3/2024,7.24911,5.193427,346.5277367,5,Well_Water_Level,,1
2/3/2024,2/3/2024,7.250118,5.193126,348.274868,5,Well_Water_Level,,2.16
2/3/2024,2/3/2024,7.250004,5.192517,344.0147972,5,Well_Water_Level,,1.02
2/3/2024,2/3/2024,7.250816,5.193103,344.9923973,5,Well_Water_Level,,4.26
2/3/2024,2/3/2024,7.23179,5.190835,356.1298485,5,Well_Water_Level,,3.54
2/3/2024,2/3/2024,7.239352,5.20026,356.4,2,Well_Water_Level,,0.73
2/3/2024,2/3/2024,7.231212,5.190017,353.0763817,5,Well_Water_Level,,0.82
2/3/2024,2/3/2024,7.232725,5.190511,361.0603294,5,Well_Water_Level,,5.23
2/3/2024,2/3/2024,7.23942,5.19911,350.6,3.059000015,Well_Water_Level,,1.24
2/3/2024,2/3/2024,7.232771,5.186912,361.0447655,5,Well_Water_Level,,5.39
2/3/2024,2/3/2024,7.233658,5.186358,360.8845482,5,Well_Water_Level,,7.01
2/3/2024,2/3/2024,7.23426,5.187397,356.387722,5,Well_Water_Level,,5.03
2/3/2024,2/3/2024,7.241512,5.199532,364.7,2.200000048,Well_Water_Level,,3.54
2/3/2024,2/3/2024,7.235017,5.188021,351.7441063,5,Well_Water_Level,,1.14
2/3/2024,2/3/2024,7.241318,5.200512,365.2,2.200000048,Well_Water_Level,,3.77
2/3/2024,2/3/2024,7.24029,5.201131,363.5,2.200000048,Well_Water_Level,,3.64
2/3/2024,2/3/2024,7.237986,5.188109,347.2508202,5,Well_Water_Level,,0.83
2/3/2024,2/3/2024,7.239919,5.202682,362.5,1.649999976,Well_Water_Level,,1.55
2/3/2024,2/3/2024,7.239536,5.203115,364.4,2,Well_Water_Level,,2.52
2/3/2024,2/3/2024,7.237015,5.188207,343.0851707,5,Well_Water_Level,,0.6
2/3/2024,2/3/2024,7.241417,5.203973,369.2,2.400000095,Well_Water_Level,,4.29
2/3/2024,2/3/2024,7.236677,5.190004,356.5948143,5,Well_Water_Level,,5.04
2/3/2024,2/3/2024,7.241305,5.204462,369.6,4.372000217,Well_Water_Level,,5.7
2/3/2024,2/3/2024,7.240663,5.2048,364.5,1.899999976,Well_Water_Level,,4.75
2/3/2024,2/3/2024,7.235771,5.190708,365.6739159,5,Well_Water_Level,,5.96
2/3/2024,2/3/2024,7.235026,5.19011,355.962368,5,Well_Water_Level,,5.37
2/3/2024,2/3/2024,7.235073,5.190012,357.2593651,5,Well_Water_Level,,4.86
2/3/2024,2/3/2024,7.234125,5.192887,365.4795799,5,Well_Water_Level,,3.89
2/3/2024,2/3/2024,7.234827,5.193548,366.8927879,5,Well_Water_Level,,9.56
2/3/2024,2/3/2024,7.243093,5.203916,374.5,2,Well_Water_Level,,5.11
2/3/2024,2/3/2024,7.234871,5.193564,367.2233857,5,Well_Water_Level,,3.19
2/3/2024,2/3/2024,7.242048,5.202668,375.7,2.935799837,Well_Water_Level,,5.14
2/3/2024,2/3/2024,7.241202,5.202475,376.1,2.5,Well_Water_Level,,2.69
2/3/2024,2/3/2024,7.236875,5.193527,355.1650658,5,Well_Water_Level,,6.45
2/3/2024,2/3/2024,7.242493,5.200538,386.5,2.099999905,Well_Water_Level,,6.61
2/3/2024,2/3/2024,7.238628,5.192181,340.8844872,5,Well_Water_Level,,1.34
2/3/2024,2/3/2024,7.238614,5.192197,347.7707176,5,Well_Water_Level,,5.37
2/3/2024,2/3/2024,7.24126,5.198827,370.7,2.099999905,Well_Water_Level,,1.74
2/3/2024,2/3/2024,7.241287,5.198383,368.6,3.700000048,Well_Water_Level,,3.76
2/3/2024,2/3/2024,7.238611,5.187229,353.0660667,5,Well_Water_Level,,4.19
2/3/2024,2/3/2024,7.24083333,5.19666667,373,0,Well_Water_Level,,3.51
2/3/2024,2/3/2024,7.239866,5.187919,348.5909691,5,Well_Water_Level,,3.6
2/3/2024,2/3/2024,7.240472,5.194892,361.5,3.900000095,Well_Water_Level,,1.08
2/3/2024,2/3/2024,7.239902,5.190754,342.0788231,5,Well_Water_Level,,0.48
2/3/2024,2/3/2024,7.23991,5.19071,342.1009178,5,Well_Water_Level,,4.45
2/3/2024,2/3/2024,7.242091,5.191231,342.186367,5,Well_Water_Level,,2.89
2/3/2024,2/3/2024,7.242884,5.19465,378.6,2.099999905,Well_Water_Level,,4.68
2/3/2024,2/3/2024,7.244142,5.19519,371.7,2,Well_Water_Level,,7.43
2/3/2024,2/3/2024,7.243007,5.191666,353.0083885,5,Well_Water_Level,,3.59
2/3/2024,2/3/2024,7.24501,5.19481,362.2,2.099999905,Well_Water_Level,,4.58
2/3/2024,2/3/2024,7.242084,5.190322,344.0777855,5,Well_Water_Level,,2.76
2/3/2024,2/3/2024,7.2462,5.196553,373.8,2.099999905,Well_Water_Level,,6.37
2/3/2024,2/3/2024,7.243757,5.190749,347.1615868,5,Well_Water_Level,,4.14
2/3/2024,2/3/2024,7.2447,5.197855,371.4,2.200000048,Well_Water_Level,,3.05
2/3/2024,2/3/2024,7.242322,5.192032,352.7384911,5,Well_Water_Level,,3.3
2/3/2024,2/3/2024,7.240161,5.192684,351.7865868,5,Well_Water_Level,,2.84
2/3/2024,2/3/2024,7.243013,5.200693,375.7,2.599999905,Well_Water_Level,,7.43
2/3/2024,2/3/2024,7.242583,5.19422,351.4355125,5,Well_Water_Level,,5.56
2/3/2024,2/3/2024,7.246356,5.201259,374.7999878,2,Well_Water_Level,,3.26
2/3/2024,2/3/2024,7.244681,5.19386,354.3672142,5,Well_Water_Level,,4.09
2/3/2024,2/3/2024,7.245228,5.191958,348.6423607,5,Well_Water_Level,,2.83
2/3/2024,2/3/2024,7.246071,5.191329,352.9886131,5,Well_Water_Level,,2.92
2/3/2024,2/3/2024,7.245936,5.190745,351.0181541,5,Well_Water_Level,,4.43
2/3/2024,2/3/2024,7.247362,5.191104,344.8047142,5,Well_Water_Level,,4.06
2/3/2024,2/3/2024,7.246998,5.192853,345.0525169,5,Well_Water_Level,,1.26
2/3/2024,2/3/2024,7.246888,5.193499,351.1438866,5,Well_Water_Level,,2.05
2/3/2024,2/3/2024,7.24911,5.193427,346.5277367,5,Well_Water_Level,,1
2/3/2024,2/3/2024,7.250118,5.193126,348.274868,5,Well_Water_Level,,2.16
2/3/2024,2/3/2024,7.250004,5.192517,344.0147972,5,Well_Water_Level,,1.02
2/3/2024,2/3/2024,7.250816,5.193103,344.9923973,5,Well_Water_Level,,4.26
